,影片名,类型,总票房（万元）,链接
0,红海行动,动作,365078,http://www.cbooo.cn/m/655823
1,唐人街探案2,喜剧,339769,http://www.cbooo.cn/m/663419
2,我不是药神,剧情,309996,http://www.cbooo.cn/m/676313
3,西虹市首富,喜剧,254757,http://www.cbooo.cn/m/671983
4,复仇者联盟3：无限战争,动作,239053,http://www.cbooo.cn/m/675789
5,捉妖记2,喜剧,223708,http://www.cbooo.cn/m/656875
6,毒液：致命守护者,动作,187013,http://www.cbooo.cn/m/662209
7,海王,动作,185218,http://www.cbooo.cn/m/665526
8,侏罗纪世界2,动作,169588,http://www.cbooo.cn/m/667168
9,前任3：再见前任,喜剧,164667,http://www.cbooo.cn/m/663359
10,头号玩家,科幻,139666,http://www.cbooo.cn/m/657862
11,后来的我们,爱情,136152,http://www.cbooo.cn/m/663327
12,一出好戏,喜剧,135505,http://www.cbooo.cn/m/677028
13,无双,动作,127376,http://www.cbooo.cn/m/678141
14,碟中谍6：全面瓦解,动作,124522,http://www.cbooo.cn/m/657756
15,巨齿鲨,动作,105178,http://www.cbooo.cn/m/644333
16,狂暴巨兽,动作,100395,http://www.cbooo.cn/m/676242
17,超时空同居,奇幻,89988,http://www.cbooo.cn/m/676391
18,蚁人2：黄蜂女现身,动作,83156,http://www.cbooo.cn/m/676247
19,无名之辈,剧情,79409,http://www.cbooo.cn/m/678587
20,无问西东,剧情,75430,http://www.cbooo.cn/m/589946
21,神秘巨星,剧情,74707,http://www.cbooo.cn/m/670328
22,西游记女儿国,喜剧,72738,http://www.cbooo.cn/m/644530
23,摩天营救,动作,66981,http://www.cbooo.cn/m/662063
24,黑豹,动作,66259,http://www.cbooo.cn/m/644135
